일자 및 요일,요일구분,비고
2026-01-01,목요일,신정
2026-02-16,월요일,설날
2026-02-17,화요일,설날
2026-02-18,수요일,설날
2026-03-02,월요일,삼일절(대체휴일)
2026-05-01,금요일,근로자의날
2026-05-05,화요일,어린이날
2026-05-25,월요일,석가탄신일(대체휴일)
2026-08-17,월요일,광복절(대체휴일)
2026-09-24,목요일,추석
2026-09-25,금요일,추석
2026-10-05,월요일,개천절(대체휴일)
2026-10-09,금요일,한글날
2026-12-25,금요일,성탄절
2026-12-31,목요일,연말휴장일
2027-01-01,금요일,신정
2027-02-08,월요일,설날
2027-02-09,화요일,설날(대체휴일)
2027-03-01,월요일,삼일절
2027-05-05,수요일,어린이날
2027-05-13,목요일,석가탄신일
2027-08-16,월요일,광복절(대체휴일)
2027-09-14,화요일,추석
2027-09-15,수요일,추석
2027-09-16,목요일,추석
2027-10-04,월요일,개천절(대체휴일)
2027-10-11,월요일,한글날(대체휴일)
2027-12-27,월요일,성탄절(대체휴일)
2027-12-31,금요일,연말휴장일
2028-01-26,수요일,설날
2028-01-27,목요일,설날
2028-01-28,금요일,설날
2028-03-01,수요일,삼일절
2028-05-01,월요일,근로자의날
2028-05-02,화요일,석가탄신일
2028-05-05,금요일,어린이날
2028-06-06,화요일,현충일
2028-08-15,화요일,광복절
2028-10-02,월요일,추석
2028-10-03,화요일,추석
2028-10-04,수요일,추석
2028-10-05,목요일,개천절(대체휴일)
2028-10-09,월요일,한글날
2028-12-25,월요일,성탄절
2028-12-29,금요일,연말휴장일
